sulfate,sulfate_binary,TWI,precip. seasonality,precip. driest quarter,precip. warmest quarter,precip. coldest quarter,annual precipitation,annual mean temperature,coastline distance,N fertilizer use,land subsidence,soil pH,population density,volcano distance,water table depth,land use-urban,sedimentary rock
9500,1,0.789776579,0.675392877,0.001052632,0.041584372,0.000117316,0.034713225,0.809366043,0.872019465,0.008615626,0.4,0.47826087,0.010025016,0.134320804,0.003664318,0,1
5715,1,0.85148929,0.507919778,0.016356473,0.031161206,0.002639606,0.029373326,0.767517371,0.573724215,0.025989439,0.8,0.782608696,0.003026019,0.078952084,0.021753095,0,1
4890,1,0.700946808,0.119834163,0.094466842,0.02692389,0.010528332,0.047045788,0.695215018,0.784656478,0.006727697,0.4,0.507246377,0.003564297,0.096994889,0.010804731,0,1
4760,1,0.755319149,0.053897436,0.099831053,0.036262685,0.011784784,0.047407833,0.529801089,0.701828061,0.006371147,0.4,0.492753623,0.00019028,0.278101985,0.002052119,0,1
4451,1,0.829787234,0.560479744,0.015338632,0.036373732,0.002237412,0.034637903,0.781768875,0.587915238,0.020678198,1,0.618357488,0.163434861,0.083124093,0.006174907,1,1
4096,1,0.831095756,0.576393689,0.015263158,0.032707887,0.00233364,0.03308809,0.77291415,0.580677664,0.018992449,0.8,0.710144928,0.006638462,0.080965284,0.010837343,0,1
3808.5842,1,0.686638284,0.333978923,0.008475632,0.023494056,0.001877053,0.015422396,0.728622735,0.747011811,0.000758298,0.4,0.695652174,0.003059997,0.015930852,0.021153498,0,1
3804.4606,1,0.670744713,0.2560761,0.008421053,0.016405915,0.001818395,0.012418243,0.712745686,0.703327196,3.79E-06,0.2,0.710144928,7.70E-05,0.030925601,0.026910316,0,1
3596,1,0.690276613,0.238016963,0.023172579,0.018714989,0.002582585,0.019619392,0.522041672,0.454515474,0.000602506,0.2,0.52173913,0,0.047620977,0.047548867,0,1
3552.3484,1,0.861287218,0.257913985,0.039109421,0.033380979,0.004579839,0.035085629,0.74245455,0.800192427,0.00437478,0.6,0.637681159,6.93E-05,0.053448653,0.013782587,0,1
3482,1,0.788382997,0.677051276,0.001051389,0.060133516,0.000117177,0.034706866,0.808720273,0.87175437,0.008615626,0.4,0.47826087,0.00938607,0.134146801,0.004829411,0,1
3387,1,0.840425532,0.562812231,0.010673474,0.026484053,0.001658822,0.026035379,0.777739034,0.602486274,0.02252649,0.8,0.632850242,0.003768871,0.087508895,0.00832153,0,1
3354,1,0.841478713,0.498618701,0.007032632,0.017060162,0.001308898,0.016711736,0.775999703,0.568588061,0.02016258,0.8,0.642512077,0.003625593,0.080654121,0.029473881,1,1
3326,1,0.842723441,0.560384645,0.014210526,0.034386199,0.002170343,0.032604008,0.778495632,0.589609934,0.021361949,1,0.666666667,0.024462347,0.083576794,0.005047378,0,1
3310.0186,1,0.664053166,0.252933423,0.016147895,0.015420992,0.002192662,0.014720608,0.689388205,0.76415422,0.000918506,0.6,0.710144928,0.000136174,0.042289397,0.009935672,0,1
3099.249,1,0.898319163,0.287437975,0.006792842,0.01304726,0.001460957,0.010292365,0.719705916,0.723201803,0.000122606,0.6,0.68115942,4.12E-05,0.023016822,0.021429491,0,1
3045,1,0.77678721,0.38828494,0.013562421,0.018204117,0.026775047,0.062284776,0.831075797,0.866713755,0.004381315,0.6,0.492753623,0.028145262,0.016638044,0.008198762,0,1
3030,1,0.704191492,0.392850303,0.006678053,0.001839417,0.007161954,0.016195251,0.597635589,0.516967689,2.73E-05,0.6,0.652173913,0.076068902,0.013469692,0.000875978,0,0
2879,1,0.789510605,0.327746073,0.025622948,0.055625108,0.002855678,0.039798853,0.768761643,0.835967697,0.004859121,0.4,0.623188406,5.83E-05,0.036056174,0.005381137,0,1
2840,1,0.727542553,0.064958643,0.103416844,0.031641636,0.012474073,0.047901297,0.503276787,0.708935042,0.003073048,0,0.304347826,2.95E-05,0.30877531,0.002713578,0,1
2812.5,1,0.778148976,0.395269244,0.013157526,0.017802697,0.02758083,0.062534481,0.830690127,0.868185169,0.004238416,0.8,0.497584541,0.012135651,0.016530382,0.003291756,0,1
2780,1,0.811276537,0.359563267,0.004736842,0.001304726,0.012547571,0.021072501,0.649181312,0.833210491,0.014459357,0.8,0.536231884,1.34E-06,0.007857966,0.006570589,0,1
